Output (S),Ic,Ib,Ia,Vc,Vb,Va
1,0.9791,0.9814,3.3345,1.1722,1.1937,0.3335
1,0.9654,0.9783,3.2306,1.168,1.1851,0.3554
1,0.9814,3.3345,0.9791,1.1937,0.3335,1.1722
1,0.9783,3.2306,0.9654,1.1851,0.3554,1.1680
1,3.3345,0.9791,0.9814,0.3335,1.1722,1.1937
1,3.2306,0.9654,0.9783,0.3554,1.1680,1.1851
1,5.3791,5.3791,0.9834,0.6501,0.4713,1.0000
1,5.0847,5.0847,0.9891,0.6712,0.4854,1.0000
1,5.3791,0.9834,5.3791,0.4713,1,0.6502
1,5.0847,0.9891,5.0847,0.4854,1,0.6712
1,0.9834,5.3791,5.3791,1,0.6501,0.4713
1,0.9891,5.0847,5.0847,1,0.6712,0.4854
1,7.8554,7.1872,0.9851,0.2045,0.2045,1.1878
1,7.8354,7.1884,0.9871,0.2272,0.2272,1.1738
1,7.1872,0.9851,7.8554,0.2045,1.1878,0.2045
1,7.1884,0.9871,7.8354,0.2272,1.1738,0.2272
1,0.9851,7.8554,7.1872,1.1878,0.2045,0.2045
1,0.9871,7.8354,7.1884,1.1738,0.2272,0.2272
0,0.9851,0.9791,0.9868,0.9791,0.9791,0.9868
0,0.9871,0.9654,0.9901,0.9654,0.9654,0.9902
0,0.9851,0.9814,0.9876,0.9814,0.9814,0.9876
0,0.9791,0.9783,0.9791,0.9783,0.9783,0.9792
0,0.9654,0.9791,0.9654,0.9791,0.9791,0.9654
0,0.9814,0.9654,0.9814,0.9654,0.9654,0.9814
0,0.9783,0.9814,0.9783,0.9542,0.9814,0.9783
0,0.9891,0.9783,0.9834,0.9773,0.9783,0.9794
0,0.9871,0.9791,0.9891,0.9791,0.9868,0.9654
0,0.9879,0.9654,0.9823,0.9654,0.9901,0.9542
0,0.9905,0.9542,0.9945,0.9542,0.9876,0.9773
0,0.9891,0.9773,0.9834,0.9773,0.9868,0.9791
0,0.9871,0.9791,0.9891,0.9868,0.9901,0.9654
0,0.9879,0.9654,0.9823,0.9901,0.9876,0.9542
0,0.9901,0.9542,0.9945,0.9876,0.9773,0.9773
0,0.9901,0.9773,0.9834,0.9901,0.9868,0.9902
