Z3,Z2,Z1,Ic,Ib,Ia,Vc,Vb,Va,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9791,0.9814,3.3345,1.1722,1.1937,0.3335,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9654,0.9783,3.2306,1.168,1.1851,0.3554,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9542,0.9643,3.1328,1.1639,1.1772,0.3759,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9814,3.3345,0.9791,1.1937,0.3335,1.1722,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9783,3.2306,0.9654,1.1851,0.3554,1.168,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9643,3.1328,0.9542,1.1772,0.3759,1.1639,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,3.3345,0.9791,0.9814,0.3335,1.1722,1.1937,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,3.2306,0.9654,0.9783,0.3554,1.168,1.1851,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,3.1328,0.9542,0.9643,0.3759,1.1639,1.1772,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9892,0.9872,2.1927,1.1215,1.107,0.5701,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9854,0.9761,2.1019,1.1171,1.1009,0.5885,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9765,0.9695,2.0182,1.113,1.0954,0.6055,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9872,2.1927,0.9892,1.107,0.5701,1.1215,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9761,2.1019,0.9854,1.1009,0.5885,1.1171,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9695,2.0182,0.9765,1.0954,0.6055,1.113,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.1927,0.9892,0.9872,0.5701,1.1215,1.107,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.1019,0.9854,0.9761,0.5885,1.1171,1.1009,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.0182,0.9765,0.9695,0.6055,1.113,1.0954,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9765,0.9823,1.4418,1.0834,1.0605,0.7209,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9892,0.9892,1.4016,1.0812,1.0582,0.7288,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9854,0.9854,1.3636,1.0792,1.0562,0.7364,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9823,1.4418,0.9765,1.0605,0.7209,1.0834,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9892,1.4016,0.9892,1.0582,0.7288,1.0812,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9854,1.3636,0.9854,1.0562,0.7364,1.0792,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.4418,0.9765,0.9823,0.7209,1.0834,1.0605,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.4016,0.9892,0.9892,0.7288,1.0812,1.0582,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.3636,0.9854,0.9854,0.7364,1.0792,1.0562,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,5.3791,5.3791,0.9834,0.6501,0.4713,1,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,5.0847,5.0847,0.9891,0.6712,0.4854,1,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,4.819,4.819,0.9823,0.6902,0.5012,1,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,5.3791,0.9834,5.3791,0.4713,1,0.6501,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,5.0847,0.9891,5.0847,0.4854,1,0.6712,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,4.819,0.9823,4.819,0.5012,1,0.6902,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9834,5.3791,5.3791,1,0.6501,0.4713,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9891,5.0847,5.0847,1,0.6712,0.4854,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9823,4.819,4.819,1,0.6902,0.5012,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,3.8074,3.8074,0.9901,0.7611,0.5816,1,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,3.6523,3.6523,0.9876,0.7717,0.5961,1,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,3.5091,3.5091,0.9874,0.7815,0.6098,1,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,3.8074,0.9901,3.8074,0.5816,1,0.7611,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,3.6523,0.9876,3.6523,0.5961,1,0.7717,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,3.5091,0.9874,3.5091,0.6098,1,0.7815,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9901,3.8074,3.8074,1,0.7611,0.5816,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9876,3.6523,3.6523,1,0.7717,0.5961,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9874,3.5091,3.5091,1,0.7815,0.6098,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.6251,2.6251,0.9854,0.8404,0.7011,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.5127,2.5127,0.9967,0.8477,0.7132,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.4429,2.4429,0.9854,0.8523,0.7208,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.6251,0.9854,2.6251,0.7011,1,0.8404,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.5127,0.9967,2.5127,0.7132,1,0.8477,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.4429,0.9854,2.4429,0.7208,1,0.8523,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9854,2.6251,2.6251,1,0.8404,0.7011,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9967,2.5127,2.5127,1,0.8477,0.7132,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9854,2.4429,2.4429,1,0.8523,0.7208,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,7.8554,7.1872,0.9851,0.2045,0.2045,1.1878,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,7.8354,7.1884,0.9871,0.2272,0.2272,1.1738,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,7.8167,7.1921,0.9891,0.2467,0.2467,1.1617,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,7.1872,0.9851,7.8554,0.2045,1.1878,0.2045,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,7.1884,0.9871,7.8354,0.2272,1.1738,0.2272,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,7.1921,0.9891,7.8167,0.2467,1.1617,0.2467,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9851,7.8554,7.1872,1.1878,0.2045,0.2045,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9871,7.8354,7.1884,1.1738,0.2272,0.2272,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.9891,7.8167,7.1921,1.1617,0.2467,0.2467,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.6263,2.3931,0.9986,0.1572,0.1572,1.2164,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.6031,2.3915,0.9789,0.2405,0.2405,1.1654,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.5852,2.3979,0.9854,0.2916,0.2916,1.1335,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.3931,0.9986,2.6263,0.1572,1.2164,0.1572,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.3915,0.9789,2.6031,0.2405,1.1654,0.2405,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,2.3979,0.9854,2.5852,0.2916,1.1335,0.2916,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9986,2.6263,2.3931,1.2164,0.1572,0.1572,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9789,2.6031,2.3915,1.1654,0.2405,0.2405,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.9854,2.5852,2.3979,1.1335,0.2916,0.2916,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.3425,1.2229,0.9987,0.0941,0.0941,1.2542,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.3359,1.2173,0.9875,0.1591,0.1591,1.2154,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.3296,1.2161,0.9768,0.2066,0.2066,1.1865,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.2229,0.9987,1.3425,0.0941,1.2542,0.0941,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.2173,0.9875,1.3359,0.1591,1.2154,0.1591,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.2161,0.9768,1.3296,0.2066,1.1865,0.2066,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9987,1.3425,1.2229,1.2542,0.0941,0.0941,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9875,1.3359,1.2173,1.2154,0.1591,0.1591,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.9768,1.3296,1.2161,1.1865,0.2066,0.2066,,,,,,,,,,,,,,,,,,,,,,,,,
